,buying,maint,doors,persons,lug_boot,safety,class
110,vhigh,high,2,2,small,high,unacc
1170,med,med,5more,4,small,low,unacc
463,high,vhigh,3,2,med,med,unacc
1337,low,vhigh,3,4,med,high,acc
1254,med,low,4,4,med,low,unacc
723,high,med,4,more,med,low,unacc
1162,med,med,5more,2,small,med,unacc
670,high,med,2,more,med,med,unacc
25,vhigh,vhigh,2,more,big,med,unacc
15,vhigh,vhigh,2,4,big,low,unacc
225,vhigh,med,2,4,small,low,unacc
582,high,high,3,4,big,low,unacc
1514,low,med,2,2,small,high,unacc
1607,low,med,5more,4,med,high,vgood
937,med,vhigh,4,more,small,med,unacc
1020,med,high,3,more,med,low,unacc
187,vhigh,high,4,more,big,med,unacc
356,vhigh,low,3,2,med,high,unacc
1509,low,high,5more,more,big,low,unacc
880,med,vhigh,2,4,big,med,acc
371,vhigh,low,3,more,small,high,acc
1193,med,low,2,2,med,high,unacc
980,med,high,2,2,big,high,unacc
881,med,vhigh,2,4,big,high,acc
443,high,vhigh,2,4,small,high,unacc
1621,low,low,2,2,small,med,unacc
250,vhigh,med,3,2,big,med,unacc
309,vhigh,med,5more,4,med,low,unacc
804,high,low,3,more,med,low,unacc
504,high,vhigh,4,more,small,low,unacc
1068,med,high,5more,4,big,low,unacc
820,high,low,4,4,small,med,unacc
97,vhigh,vhigh,5more,4,big,med,unacc
623,high,high,5more,2,small,high,unacc
393,vhigh,low,4,4,big,low,unacc
288,vhigh,med,4,more,small,low,unacc
441,high,vhigh,2,4,small,low,unacc
963,med,vhigh,5more,more,small,low,unacc
244,vhigh,med,3,2,small,med,unacc
982,med,high,2,4,small,med,unacc
1062,med,high,5more,4,small,low,unacc
314,vhigh,med,5more,4,big,high,acc
1050,med,high,4,more,big,low,unacc
1539,low,med,3,2,small,low,unacc
292,vhigh,med,4,more,med,med,acc
567,high,high,3,2,small,low,unacc
674,high,med,2,more,big,high,acc
1394,low,vhigh,5more,4,big,high,acc
174,vhigh,high,4,4,med,low,unacc
1226,med,low,3,4,small,high,good
1053,med,high,5more,2,small,low,unacc
1658,low,low,3,4,small,high,good
563,high,high,2,more,med,high,acc
583,high,high,3,4,big,med,acc
758,high,low,2,2,small,high,unacc
117,vhigh,high,2,4,small,low,unacc
166,vhigh,high,4,2,med,med,unacc
301,vhigh,med,5more,2,med,med,unacc
1160,med,med,4,more,big,high,vgood
9,vhigh,vhigh,2,4,small,low,unacc
577,high,high,3,4,small,med,unacc
1360,low,vhigh,4,4,small,med,unacc
1290,med,low,5more,more,med,low,unacc
341,vhigh,low,2,4,big,high,acc
1103,med,med,2,more,med,high,acc
294,vhigh,med,4,more,big,low,unacc
11,vhigh,vhigh,2,4,small,high,unacc
1649,low,low,3,2,small,high,unacc
498,high,vhigh,4,4,med,low,unacc
946,med,vhigh,5more,2,small,med,unacc
792,high,low,3,4,small,low,unacc
256,vhigh,med,3,4,med,med,unacc
380,vhigh,low,4,2,small,high,unacc
1626,low,low,2,2,big,low,unacc
1554,low,med,3,4,big,low,unacc
122,vhigh,high,2,4,med,high,unacc
388,vhigh,low,4,4,small,med,unacc
1569,low,med,4,2,med,low,unacc
1135,med,med,4,2,small,med,unacc
209,vhigh,high,5more,more,small,high,unacc
785,high,low,3,2,small,high,unacc
1312,low,vhigh,2,4,big,med,acc
289,vhigh,med,4,more,small,med,unacc
1423,low,high,2,more,small,med,unacc
656,high,med,2,2,big,high,unacc
1213,med,low,2,more,big,med,good
171,vhigh,high,4,4,small,low,unacc
1215,med,low,3,2,small,low,unacc
1141,med,med,4,2,big,med,unacc
1275,med,low,5more,2,big,low,unacc
756,high,low,2,2,small,low,unacc
1011,med,high,3,4,med,low,unacc
1037,med,high,4,4,small,high,acc
156,vhigh,high,3,more,med,low,unacc
835,high,low,4,more,big,med,acc
791,high,low,3,2,big,high,unacc
633,high,high,5more,4,med,low,unacc
916,med,vhigh,3,more,big,med,acc
368,vhigh,low,3,4,big,high,acc
1517,low,med,2,2,med,high,unacc
1672,low,low,3,more,big,med,good
1480,low,high,4,more,med,med,acc
1159,med,med,4,more,big,med,acc
201,vhigh,high,5more,4,med,low,unacc
1428,low,high,2,more,big,low,unacc
1,vhigh,vhigh,2,2,small,med,unacc
307,vhigh,med,5more,4,small,med,unacc
866,med,vhigh,2,2,small,high,unacc
1306,low,vhigh,2,4,small,med,unacc
613,high,high,4,more,small,med,unacc
1133,med,med,3,more,big,high,vgood
983,med,high,2,4,small,high,acc
413,vhigh,low,5more,2,big,high,unacc
1006,med,high,3,2,big,med,unacc
384,vhigh,low,4,2,big,low,unacc
1274,med,low,5more,2,med,high,unacc
634,high,high,5more,4,med,med,acc
172,vhigh,high,4,4,small,med,unacc
702,high,med,4,2,small,low,unacc
433,high,vhigh,2,2,small,med,unacc
1228,med,low,3,4,med,med,acc
561,high,high,2,more,med,low,unacc
1488,low,high,5more,2,med,low,unacc
1612,low,med,5more,more,small,med,acc
970,med,vhigh,5more,more,big,med,acc
1491,low,high,5more,2,big,low,unacc
1110,med,med,3,2,med,low,unacc
1695,low,low,4,more,med,low,unacc
1233,med,low,3,more,small,low,unacc
751,high,med,5more,more,med,med,acc
524,high,vhigh,5more,4,small,high,unacc
220,vhigh,med,2,2,med,med,unacc
159,vhigh,high,3,more,big,low,unacc
329,vhigh,low,2,2,med,high,unacc
735,high,med,5more,2,big,low,unacc
1381,low,vhigh,5more,2,med,med,unacc
1284,med,low,5more,4,big,low,unacc
327,vhigh,low,2,2,med,low,unacc
215,vhigh,high,5more,more,big,high,unacc
968,med,vhigh,5more,more,med,high,acc
664,high,med,2,4,big,med,acc
601,high,high,4,2,big,med,unacc
1081,med,med,2,2,small,med,unacc
445,high,vhigh,2,4,med,med,unacc
1548,low,med,3,4,small,low,unacc
1018,med,high,3,more,small,med,unacc
1250,med,low,4,2,big,high,unacc
1668,low,low,3,more,med,low,unacc
245,vhigh,med,3,2,small,high,unacc
509,high,vhigh,4,more,med,high,unacc
1363,low,vhigh,4,4,med,med,acc
921,med,vhigh,4,2,med,low,unacc
173,vhigh,high,4,4,small,high,unacc
1711,low,low,5more,4,small,med,acc
559,high,high,2,more,small,med,unacc
514,high,vhigh,5more,2,small,med,unacc
789,high,low,3,2,big,low,unacc
1128,med,med,3,more,med,low,unacc
1217,med,low,3,2,small,high,unacc
1453,low,high,3,more,med,med,acc
170,vhigh,high,4,2,big,high,unacc
530,high,vhigh,5more,4,big,high,unacc
1019,med,high,3,more,small,high,acc
458,high,vhigh,2,more,big,high,unacc
700,high,med,3,more,big,med,acc
1560,low,med,3,more,med,low,unacc
732,high,med,5more,2,med,low,unacc
971,med,vhigh,5more,more,big,high,acc
313,vhigh,med,5more,4,big,med,acc
1263,med,low,4,more,med,low,unacc
1240,med,low,3,more,big,med,good
692,high,med,3,4,big,high,acc
1201,med,low,2,4,med,med,acc
53,vhigh,vhigh,3,more,big,high,unacc
515,high,vhigh,5more,2,small,high,unacc
848,high,low,5more,4,small,high,acc
411,vhigh,low,5more,2,big,low,unacc
35,vhigh,vhigh,3,2,big,high,unacc
1138,med,med,4,2,med,med,unacc
206,vhigh,high,5more,4,big,high,unacc
814,high,low,4,2,med,med,unacc
742,high,med,5more,4,med,med,acc
40,vhigh,vhigh,3,4,med,med,unacc
904,med,vhigh,3,4,med,med,unacc
777,high,low,2,more,med,low,unacc
1408,low,high,2,2,med,med,unacc
26,vhigh,vhigh,2,more,big,high,unacc
1609,low,med,5more,4,big,med,good
113,vhigh,high,2,2,med,high,unacc
453,high,vhigh,2,more,med,low,unacc
450,high,vhigh,2,more,small,low,unacc
346,vhigh,low,2,more,med,med,unacc
609,high,high,4,4,big,low,unacc
420,vhigh,low,5more,4,big,low,unacc
553,high,high,2,4,med,med,unacc
1078,med,high,5more,more,big,med,acc
1456,low,high,3,more,big,med,acc
1362,low,vhigh,4,4,med,low,unacc
1521,low,med,2,4,small,low,unacc
114,vhigh,high,2,2,big,low,unacc
713,high,med,4,4,small,high,acc
1100,med,med,2,more,small,high,unacc
649,high,med,2,2,small,med,unacc
557,high,high,2,4,big,high,acc
668,high,med,2,more,small,high,unacc
1232,med,low,3,4,big,high,vgood
1417,low,high,2,4,med,med,acc
137,vhigh,high,3,2,small,high,unacc
769,high,low,2,4,med,med,unacc
662,high,med,2,4,med,high,acc
655,high,med,2,2,big,med,unacc
1216,med,low,3,2,small,med,unacc
979,med,high,2,2,big,med,unacc
1014,med,high,3,4,big,low,unacc
891,med,vhigh,3,2,small,low,unacc
1704,low,low,5more,2,med,low,unacc
1570,low,med,4,2,med,med,unacc
706,high,med,4,2,med,med,unacc
49,vhigh,vhigh,3,more,med,med,unacc
1582,low,med,4,4,big,med,good
838,high,low,5more,2,small,med,unacc
227,vhigh,med,2,4,small,high,acc
1501,low,high,5more,4,big,med,acc
608,high,high,4,4,med,high,acc
1083,med,med,2,2,med,low,unacc
1307,low,vhigh,2,4,small,high,acc
1471,low,high,4,4,med,med,acc
1021,med,high,3,more,med,med,acc
1060,med,high,5more,2,big,med,unacc
1304,low,vhigh,2,2,big,high,unacc
948,med,vhigh,5more,2,med,low,unacc
412,vhigh,low,5more,2,big,med,unacc
1442,low,high,3,4,small,high,acc
1236,med,low,3,more,med,low,unacc
811,high,low,4,2,small,med,unacc
484,high,vhigh,3,more,big,med,unacc
701,high,med,3,more,big,high,acc
645,high,high,5more,more,big,low,unacc
1459,low,high,4,2,small,med,unacc
522,high,vhigh,5more,4,small,low,unacc
1325,low,vhigh,3,2,small,high,unacc
1260,med,low,4,more,small,low,unacc
284,vhigh,med,4,4,med,high,acc
1101,med,med,2,more,med,low,unacc
1618,low,med,5more,more,big,med,good
762,high,low,2,2,big,low,unacc
1285,med,low,5more,4,big,med,good
251,vhigh,med,3,2,big,high,unacc
890,med,vhigh,2,more,big,high,acc
1305,low,vhigh,2,4,small,low,unacc
298,vhigh,med,5more,2,small,med,unacc
1689,low,low,4,4,big,low,unacc
1167,med,med,5more,2,big,low,unacc
178,vhigh,high,4,4,big,med,unacc
534,high,vhigh,5more,more,med,low,unacc
914,med,vhigh,3,more,med,high,acc
998,med,high,2,more,big,high,acc
1052,med,high,4,more,big,high,acc
1584,low,med,4,more,small,low,unacc
879,med,vhigh,2,4,big,low,unacc
311,vhigh,med,5more,4,med,high,acc
1151,med,med,4,4,big,high,vgood
849,high,low,5more,4,med,low,unacc
444,high,vhigh,2,4,med,low,unacc
148,vhigh,high,3,4,med,med,unacc
1481,low,high,4,more,med,high,vgood
1385,low,vhigh,5more,2,big,high,unacc
295,vhigh,med,4,more,big,med,acc
129,vhigh,high,2,more,med,low,unacc
839,high,low,5more,2,small,high,unacc
996,med,high,2,more,big,low,unacc
750,high,med,5more,more,med,low,unacc
941,med,vhigh,4,more,med,high,acc
1623,low,low,2,2,med,low,unacc
1291,med,low,5more,more,med,med,good
1223,med,low,3,2,big,high,unacc
366,vhigh,low,3,4,big,low,unacc
1382,low,vhigh,5more,2,med,high,unacc
1191,med,low,2,2,med,low,unacc
297,vhigh,med,5more,2,small,low,unacc
1205,med,low,2,4,big,high,vgood
1707,low,low,5more,2,big,low,unacc
1535,low,med,2,more,med,high,good
128,vhigh,high,2,more,small,high,unacc
93,vhigh,vhigh,5more,4,med,low,unacc
857,high,low,5more,more,small,high,acc
1418,low,high,2,4,med,high,acc
1557,low,med,3,more,small,low,unacc
636,high,high,5more,4,big,low,unacc
91,vhigh,vhigh,5more,4,small,med,unacc
1315,low,vhigh,2,more,small,med,unacc
304,vhigh,med,5more,2,big,med,unacc
817,high,low,4,2,big,med,unacc
602,high,high,4,2,big,high,unacc
703,high,med,4,2,small,med,unacc
594,high,high,4,2,small,low,unacc
942,med,vhigh,4,more,big,low,unacc
940,med,vhigh,4,more,med,med,acc
1235,med,low,3,more,small,high,good
1632,low,low,2,4,med,low,unacc
1388,low,vhigh,5more,4,small,high,acc
1088,med,med,2,2,big,high,unacc
17,vhigh,vhigh,2,4,big,high,unacc
465,high,vhigh,3,2,big,low,unacc
616,high,high,4,more,med,med,acc
1028,med,high,4,2,small,high,unacc
334,vhigh,low,2,4,small,med,unacc
51,vhigh,vhigh,3,more,big,low,unacc
1157,med,med,4,more,med,high,vgood
1298,low,vhigh,2,2,small,high,unacc
351,vhigh,low,3,2,small,low,unacc
1420,low,high,2,4,big,med,acc
1357,low,vhigh,4,2,big,med,unacc
383,vhigh,low,4,2,med,high,unacc
606,high,high,4,4,med,low,unacc
1347,low,vhigh,3,more,big,low,unacc
1699,low,low,4,more,big,med,good
253,vhigh,med,3,4,small,med,unacc
886,med,vhigh,2,more,med,med,unacc
275,vhigh,med,4,2,med,high,unacc
863,high,low,5more,more,big,high,acc
1562,low,med,3,more,med,high,vgood
1036,med,high,4,4,small,med,unacc
319,vhigh,med,5more,more,med,med,acc
1636,low,low,2,4,big,med,good
323,vhigh,med,5more,more,big,high,acc
603,high,high,4,4,small,low,unacc
1032,med,high,4,2,big,low,unacc
181,vhigh,high,4,more,small,med,unacc
717,high,med,4,4,big,low,unacc
1023,med,high,3,more,big,low,unacc
694,high,med,3,more,small,med,unacc
1614,low,med,5more,more,med,low,unacc
1596,low,med,5more,2,med,low,unacc
552,high,high,2,4,med,low,unacc
852,high,low,5more,4,big,low,unacc
911,med,vhigh,3,more,small,high,acc
746,high,med,5more,4,big,high,acc
1520,low,med,2,2,big,high,unacc
254,vhigh,med,3,4,small,high,acc
273,vhigh,med,4,2,med,low,unacc
34,vhigh,vhigh,3,2,big,med,unacc
1261,med,low,4,more,small,med,acc
1166,med,med,5more,2,med,high,unacc
1142,med,med,4,2,big,high,unacc
1107,med,med,3,2,small,low,unacc
587,high,high,3,more,small,high,acc
1318,low,vhigh,2,more,med,med,unacc
847,high,low,5more,4,small,med,unacc
240,vhigh,med,2,more,big,low,unacc
748,high,med,5more,more,small,med,unacc
48,vhigh,vhigh,3,more,med,low,unacc
32,vhigh,vhigh,3,2,med,high,unacc
1465,low,high,4,2,big,med,unacc
767,high,low,2,4,small,high,acc
1089,med,med,2,4,small,low,unacc
516,high,vhigh,5more,2,med,low,unacc
626,high,high,5more,2,med,high,unacc
882,med,vhigh,2,more,small,low,unacc
829,high,low,4,more,small,med,unacc
1589,low,med,4,more,med,high,vgood
184,vhigh,high,4,more,med,med,unacc
808,high,low,3,more,big,med,acc
1424,low,high,2,more,small,high,unacc
823,high,low,4,4,med,med,acc
944,med,vhigh,4,more,big,high,acc
99,vhigh,vhigh,5more,more,small,low,unacc
1572,low,med,4,2,big,low,unacc
1094,med,med,2,4,med,high,acc
716,high,med,4,4,med,high,acc
293,vhigh,med,4,more,med,high,acc
168,vhigh,high,4,2,big,low,unacc
336,vhigh,low,2,4,med,low,unacc
1675,low,low,4,2,small,med,unacc
920,med,vhigh,4,2,small,high,unacc
755,high,med,5more,more,big,high,acc
448,high,vhigh,2,4,big,med,unacc
1346,low,vhigh,3,more,med,high,acc
500,high,vhigh,4,4,med,high,unacc
827,high,low,4,4,big,high,acc
1678,low,low,4,2,med,med,unacc
984,med,high,2,4,med,low,unacc
1671,low,low,3,more,big,low,unacc
325,vhigh,low,2,2,small,med,unacc
1478,low,high,4,more,small,high,acc
1210,med,low,2,more,med,med,acc
592,high,high,3,more,big,med,acc
1056,med,high,5more,2,med,low,unacc
620,high,high,4,more,big,high,acc
394,vhigh,low,4,4,big,med,acc
1178,med,med,5more,4,big,high,vgood
928,med,vhigh,4,4,small,med,unacc
65,vhigh,vhigh,4,4,small,high,unacc
1054,med,high,5more,2,small,med,unacc
810,high,low,4,2,small,low,unacc
518,high,vhigh,5more,2,med,high,unacc
1551,low,med,3,4,med,low,unacc
265,vhigh,med,3,more,med,med,acc
610,high,high,4,4,big,med,acc
135,vhigh,high,3,2,small,low,unacc
461,high,vhigh,3,2,small,high,unacc
661,high,med,2,4,med,med,unacc
1648,low,low,3,2,small,med,unacc
418,vhigh,low,5more,4,med,med,acc
378,vhigh,low,4,2,small,low,unacc
374,vhigh,low,3,more,med,high,acc
1559,low,med,3,more,small,high,good
1538,low,med,2,more,big,high,vgood
1154,med,med,4,more,small,high,acc
1029,med,high,4,2,med,low,unacc
987,med,high,2,4,big,low,unacc
472,high,vhigh,3,4,med,med,unacc
897,med,vhigh,3,2,big,low,unacc
1255,med,low,4,4,med,med,good
846,high,low,5more,4,small,low,unacc
1565,low,med,3,more,big,high,vgood
76,vhigh,vhigh,4,more,med,med,unacc
54,vhigh,vhigh,4,2,small,low,unacc
1229,med,low,3,4,med,high,good
1221,med,low,3,2,big,low,unacc
1243,med,low,4,2,small,med,unacc
1527,low,med,2,4,big,low,unacc
1327,low,vhigh,3,2,med,med,unacc
1541,low,med,3,2,small,high,unacc
410,vhigh,low,5more,2,med,high,unacc
1269,med,low,5more,2,small,low,unacc
255,vhigh,med,3,4,med,low,unacc
1147,med,med,4,4,med,med,acc
676,high,med,3,2,small,med,unacc
358,vhigh,low,3,2,big,med,unacc
1069,med,high,5more,4,big,med,acc
269,vhigh,med,3,more,big,high,acc
473,high,vhigh,3,4,med,high,unacc
1508,low,high,5more,more,med,high,vgood
600,high,high,4,2,big,low,unacc
1674,low,low,4,2,small,low,unacc
322,vhigh,med,5more,more,big,med,acc
1604,low,med,5more,4,small,high,good
737,high,med,5more,2,big,high,unacc
858,high,low,5more,more,med,low,unacc
287,vhigh,med,4,4,big,high,acc
854,high,low,5more,4,big,high,acc
1640,low,low,2,more,small,high,unacc
1590,low,med,4,more,big,low,unacc
1715,low,low,5more,4,med,high,vgood
286,vhigh,med,4,4,big,med,acc
1468,low,high,4,4,small,med,acc
180,vhigh,high,4,more,small,low,unacc
355,vhigh,low,3,2,med,med,unacc
475,high,vhigh,3,4,big,med,unacc
1692,low,low,4,more,small,low,unacc
502,high,vhigh,4,4,big,med,unacc
324,vhigh,low,2,2,small,low,unacc
343,vhigh,low,2,more,small,med,unacc
123,vhigh,high,2,4,big,low,unacc
1026,med,high,4,2,small,low,unacc
902,med,vhigh,3,4,small,high,acc
687,high,med,3,4,med,low,unacc
1003,med,high,3,2,med,med,unacc
1013,med,high,3,4,med,high,acc
768,high,low,2,4,med,low,unacc
503,high,vhigh,4,4,big,high,unacc
501,high,vhigh,4,4,big,low,unacc
1348,low,vhigh,3,more,big,med,acc
1171,med,med,5more,4,small,med,acc
1437,low,high,3,2,big,low,unacc
834,high,low,4,more,big,low,unacc
282,vhigh,med,4,4,med,low,unacc
373,vhigh,low,3,more,med,med,acc
320,vhigh,med,5more,more,med,high,acc
782,high,low,2,more,big,high,acc
190,vhigh,high,5more,2,small,med,unacc
909,med,vhigh,3,more,small,low,unacc
1040,med,high,4,4,med,high,acc
1427,low,high,2,more,med,high,acc
1231,med,low,3,4,big,med,good
527,high,vhigh,5more,4,med,high,unacc
1012,med,high,3,4,med,med,unacc
268,vhigh,med,3,more,big,med,acc
415,vhigh,low,5more,4,small,med,unacc
20,vhigh,vhigh,2,more,small,high,unacc
568,high,high,3,2,small,med,unacc
133,vhigh,high,2,more,big,med,unacc
1425,low,high,2,more,med,low,unacc
392,vhigh,low,4,4,med,high,acc
560,high,high,2,more,small,high,unacc
52,vhigh,vhigh,3,more,big,med,unacc
741,high,med,5more,4,med,low,unacc
1149,med,med,4,4,big,low,unacc
1049,med,high,4,more,med,high,acc
1044,med,high,4,more,small,low,unacc
63,vhigh,vhigh,4,4,small,low,unacc
1197,med,low,2,4,small,low,unacc
1302,low,vhigh,2,2,big,low,unacc
1323,low,vhigh,3,2,small,low,unacc
118,vhigh,high,2,4,small,med,unacc
1440,low,high,3,4,small,low,unacc
1397,low,vhigh,5more,more,small,high,acc
588,high,high,3,more,med,low,unacc
554,high,high,2,4,med,high,acc
283,vhigh,med,4,4,med,med,acc
23,vhigh,vhigh,2,more,med,high,unacc
1097,med,med,2,4,big,high,vgood
367,vhigh,low,3,4,big,med,acc
333,vhigh,low,2,4,small,low,unacc
439,high,vhigh,2,2,big,med,unacc
1195,med,low,2,2,big,med,unacc
1415,low,high,2,4,small,high,acc
1583,low,med,4,4,big,high,vgood
809,high,low,3,more,big,high,acc
641,high,high,5more,more,small,high,acc
107,vhigh,vhigh,5more,more,big,high,unacc
510,high,vhigh,4,more,big,low,unacc
1076,med,high,5more,more,med,high,acc
204,vhigh,high,5more,4,big,low,unacc
104,vhigh,vhigh,5more,more,med,high,unacc
888,med,vhigh,2,more,big,low,unacc
533,high,vhigh,5more,more,small,high,unacc
188,vhigh,high,4,more,big,high,unacc
787,high,low,3,2,med,med,unacc
260,vhigh,med,3,4,big,high,acc
494,high,vhigh,4,2,big,high,unacc
712,high,med,4,4,small,med,unacc
1156,med,med,4,more,med,med,acc
908,med,vhigh,3,4,big,high,acc
873,med,vhigh,2,4,small,low,unacc
203,vhigh,high,5more,4,med,high,unacc
10,vhigh,vhigh,2,4,small,med,unacc
469,high,vhigh,3,4,small,med,unacc
596,high,high,4,2,small,high,unacc
569,high,high,3,2,small,high,unacc
958,med,vhigh,5more,4,med,med,acc
1061,med,high,5more,2,big,high,unacc
739,high,med,5more,4,small,med,unacc
1118,med,med,3,4,small,high,acc
1460,low,high,4,2,small,high,unacc
1545,low,med,3,2,big,low,unacc
545,high,high,2,2,med,high,unacc
624,high,high,5more,2,med,low,unacc
1422,low,high,2,more,small,low,unacc
708,high,med,4,2,big,low,unacc
1670,low,low,3,more,med,high,vgood
1308,low,vhigh,2,4,med,low,unacc
1353,low,vhigh,4,2,med,low,unacc
778,high,low,2,more,med,med,unacc
1001,med,high,3,2,small,high,unacc
615,high,high,4,more,med,low,unacc
581,high,high,3,4,med,high,acc
363,vhigh,low,3,4,med,low,unacc
1008,med,high,3,4,small,low,unacc
1716,low,low,5more,4,big,low,unacc
550,high,high,2,4,small,med,unacc
1313,low,vhigh,2,4,big,high,acc
1172,med,med,5more,4,small,high,acc
730,high,med,5more,2,small,med,unacc
512,high,vhigh,4,more,big,high,unacc
236,vhigh,med,2,more,small,high,unacc
1467,low,high,4,4,small,low,unacc
853,high,low,5more,4,big,med,acc
1631,low,low,2,4,small,high,good
960,med,vhigh,5more,4,big,low,unacc
1506,low,high,5more,more,med,low,unacc
753,high,med,5more,more,big,low,unacc
1126,med,med,3,more,small,med,acc
1116,med,med,3,4,small,low,unacc
302,vhigh,med,5more,2,med,high,unacc
1681,low,low,4,2,big,med,unacc
584,high,high,3,4,big,high,acc
345,vhigh,low,2,more,med,low,unacc
1077,med,high,5more,more,big,low,unacc
757,high,low,2,2,small,med,unacc
707,high,med,4,2,med,high,unacc
875,med,vhigh,2,4,small,high,acc
1237,med,low,3,more,med,med,good
142,vhigh,high,3,2,big,med,unacc
29,vhigh,vhigh,3,2,small,high,unacc
370,vhigh,low,3,more,small,med,unacc
1280,med,low,5more,4,small,high,good
1299,low,vhigh,2,2,med,low,unacc
1096,med,med,2,4,big,med,acc
1038,med,high,4,4,med,low,unacc
508,high,vhigh,4,more,med,med,unacc
83,vhigh,vhigh,5more,2,small,high,unacc
454,high,vhigh,2,more,med,med,unacc
278,vhigh,med,4,2,big,high,unacc
77,vhigh,vhigh,4,more,med,high,unacc
1690,low,low,4,4,big,med,good
108,vhigh,high,2,2,small,low,unacc
1475,low,high,4,4,big,high,vgood
695,high,med,3,more,small,high,acc
152,vhigh,high,3,4,big,high,unacc
786,high,low,3,2,med,low,unacc
505,high,vhigh,4,more,small,med,unacc
330,vhigh,low,2,2,big,low,unacc
423,vhigh,low,5more,more,small,low,unacc
1300,low,vhigh,2,2,med,med,unacc
1259,med,low,4,4,big,high,vgood
698,high,med,3,more,med,high,acc
860,high,low,5more,more,med,high,acc
1066,med,high,5more,4,med,med,acc
840,high,low,5more,2,med,low,unacc
1104,med,med,2,more,big,low,unacc
1646,low,low,2,more,big,high,vgood
986,med,high,2,4,med,high,acc
1364,low,vhigh,4,4,med,high,acc
372,vhigh,low,3,more,med,low,unacc
103,vhigh,vhigh,5more,more,med,med,unacc
1479,low,high,4,more,med,low,unacc
836,high,low,4,more,big,high,acc
780,high,low,2,more,big,low,unacc
436,high,vhigh,2,2,med,med,unacc
116,vhigh,high,2,2,big,high,unacc
246,vhigh,med,3,2,med,low,unacc
1007,med,high,3,2,big,high,unacc
728,high,med,4,more,big,high,acc
1248,med,low,4,2,big,low,unacc
659,high,med,2,4,small,high,acc
151,vhigh,high,3,4,big,med,unacc
360,vhigh,low,3,4,small,low,unacc
359,vhigh,low,3,2,big,high,unacc
1373,low,vhigh,4,more,med,high,acc
457,high,vhigh,2,more,big,med,unacc
1625,low,low,2,2,med,high,unacc
306,vhigh,med,5more,4,small,low,unacc
1493,low,high,5more,2,big,high,unacc
1183,med,med,5more,more,med,med,acc
1120,med,med,3,4,med,med,acc
759,high,low,2,2,med,low,unacc
677,high,med,3,2,small,high,unacc
460,high,vhigh,3,2,small,med,unacc
1714,low,low,5more,4,med,med,good
58,vhigh,vhigh,4,2,med,med,unacc
1400,low,vhigh,5more,more,med,high,acc
219,vhigh,med,2,2,med,low,unacc
795,high,low,3,4,med,low,unacc
876,med,vhigh,2,4,med,low,unacc
1380,low,vhigh,5more,2,med,low,unacc
1338,low,vhigh,3,4,big,low,unacc
55,vhigh,vhigh,4,2,small,med,unacc
1063,med,high,5more,4,small,med,unacc
1245,med,low,4,2,med,low,unacc
1071,med,high,5more,more,small,low,unacc
1452,low,high,3,more,med,low,unacc
1643,low,low,2,more,med,high,good
1495,low,high,5more,4,small,med,acc
825,high,low,4,4,big,low,unacc
1684,low,low,4,4,small,med,acc
120,vhigh,high,2,4,med,low,unacc
1392,low,vhigh,5more,4,big,low,unacc
146,vhigh,high,3,4,small,high,unacc
1145,med,med,4,4,small,high,acc
1503,low,high,5more,more,small,low,unacc
195,vhigh,high,5more,2,big,low,unacc
627,high,high,5more,2,big,low,unacc
78,vhigh,vhigh,4,more,big,low,unacc
242,vhigh,med,2,more,big,high,acc
952,med,vhigh,5more,2,big,med,unacc
192,vhigh,high,5more,2,med,low,unacc
353,vhigh,low,3,2,small,high,unacc
1209,med,low,2,more,med,low,unacc
1412,low,high,2,2,big,high,unacc
1605,low,med,5more,4,med,low,unacc
1439,low,high,3,2,big,high,unacc
535,high,vhigh,5more,more,med,med,unacc
1620,low,low,2,2,small,low,unacc
1634,low,low,2,4,med,high,good
1617,low,med,5more,more,big,low,unacc
452,high,vhigh,2,more,small,high,unacc
1150,med,med,4,4,big,med,acc
14,vhigh,vhigh,2,4,med,high,unacc
1390,low,vhigh,5more,4,med,med,acc
1470,low,high,4,4,med,low,unacc
1084,med,med,2,2,med,med,unacc
1224,med,low,3,4,small,low,unacc
526,high,vhigh,5more,4,med,med,unacc
1638,low,low,2,more,small,low,unacc
749,high,med,5more,more,small,high,acc
540,high,high,2,2,small,low,unacc
447,high,vhigh,2,4,big,low,unacc
438,high,vhigh,2,2,big,low,unacc
377,vhigh,low,3,more,big,high,acc
790,high,low,3,2,big,med,unacc
